age_kyr_bp,co2_ppm
0.0,313.7
0.001,309.7
0.002,311.6
0.003,310.4
0.003,312.9
0.004,312.0
0.004,312.6
0.005,310.2
0.005,310.4
0.005,311.3
0.005,311.8
0.006,312.4
0.008,311.9
0.008,312.4
0.008,312.8
0.009,307.7
0.009,311.8
0.01,309.8
0.01,310.9
0.011,310.5
0.011,311.2
0.012,308.5
0.012,311.5
0.012,311.9
0.012,312.3
0.013,307.4
0.014,307.3
0.014,309.3
0.015,306.3
0.016,307.1
0.016,309.6
0.017,305.9
0.017,308.3
0.018,308.3
0.019,305.7
0.021,305.4
0.021,305.7
0.021,305.8
0.022,305.7
0.022,308.0
0.025,304.7
0.025,305.0
0.027,303.2
0.027,306.2
0.03,301.9
0.031,304.6
0.032,303.9
0.034,301.9
0.036,300.7
0.037,301.3
0.039,297.7
0.039,298.1
0.039,299.3
0.04,297.9
0.041,301.5
0.044,297.3
0.044,299.6
0.045,299.0
0.046,296.0
0.048,295.6
0.05,294.2
0.051,295.3
0.051,297.1
0.056,293.2
0.056,293.8
0.057,294.9
0.057,295.3
0.058,295.2
0.06,290.9
0.061,292.3
0.063,294.3
0.064,288.1
0.066,289.2
0.066,289.8
0.067,292.5
0.07,287.8
0.073,289.3
0.076,291.6
0.077,286.7
0.08,286.3
0.08,288.0
0.082,288.0
0.082,289.5
0.083,285.1
0.086,286.6
0.087,285.4
0.088,287.2
0.091,286.6
0.093,283.2
0.095,285.6
0.096,288.1
0.099,285.5
0.099,288.8
0.1,284.0
0.103,286.8
0.104,283.6
0.105,283.2
0.106,283.5
0.107,281.6
0.109,283.6
0.113,284.1
0.117,283.8
0.117,285.1
0.123,285.9
0.125,281.4
0.136,284.4
0.151,282.8
0.154,280.4
0.154,282.3
0.156,281.6
0.17,273.1
0.171,280.2
0.177,277.9
0.186,276.4
0.187,277.2
0.198,276.5
0.198,278.0
0.201,277.6
0.209,276.8
0.216,278.3
0.227,277.0
0.227,278.3
0.256,277.4
0.26,276.3
0.268,276.7
0.301,278.0
0.31,276.7
0.321,273.8
0.341,271.1
0.347,275.1
0.359,279.4
0.362,281.1
0.377,282.6
0.39,281.8
0.4,283.5
0.42,283.9
0.448,283.1
0.481,280.3
0.501,282.2
0.521,279.7
0.539,279.7
0.56,280.9
0.601,278.4
0.62,284.1
0.643,281.6
0.672,278.4
0.69,282.2
0.699,282.4
0.739,283.7
0.75,284.5
0.784,284.0
0.804,284.5
0.834,282.8
0.851,283.1
0.88,282.8
0.901,281.0
0.91,280.9
0.931,280.1
0.932,279.8
0.967,278.7
0.992,277.4
1.036,280.1
1.075,279.4
1.128,278.6
1.157,279.7
1.188,279.3
1.22,280.0
1.249,277.1
1.281,278.4
1.313,279.6
1.335,277.9
1.368,276.2
1.393,278.5
1.398,276.6
1.432,276.8
1.462,277.1
1.513,280.0
1.544,279.1
1.566,277.2
1.593,277.8
1.632,281.7
1.654,280.9
1.676,280.2
1.684,278.3
1.709,280.2
1.775,277.6
1.796,278.1
1.814,278.1
1.846,277.5
1.894,277.4
1.92,277.9
1.949,276.7
2.0,278.0
2.093,276.9
2.234,276.7
2.266,276.7
2.414,277.6
2.526,277.9
2.628,273.9
2.708,278.9
2.802,275.3
2.905,274.7
2.949,276.3
3.057,274.6
3.256,276.3
3.284,273.1
3.431,274.0
3.528,275.0
3.644,273.4
3.693,273.0
3.807,271.5
3.856,275.4
3.969,274.9
4.109,271.7
4.206,271.6
4.275,272.8
4.343,271.5
4.494,271.1
4.593,269.1
4.647,269.8
4.773,271.5
4.921,270.7
4.982,269.3
5.087,268.6
5.219,269.8
5.311,267.6
5.358,265.3
5.533,265.2
5.581,267.6
5.758,265.9
5.852,265.5
5.934,260.7
5.999,266.7
6.09,265.5
6.302,263.2
6.337,262.7
6.401,261.2
6.572,261.1
6.683,259.4
6.77,262.1
6.88,262.9
6.97,258.1
7.038,257.6
7.188,262.3
7.274,263.0
7.405,260.7
7.498,258.4
7.661,260.1
7.72,260.4
7.86,259.7
7.926,259.2
7.976,260.8
8.116,259.6
8.195,259.3
8.352,258.3
8.46,261.3
8.547,260.7
8.711,261.8
8.781,259.0
8.912,260.9
8.993,260.4
9.06,259.3
9.143,262.0
9.295,263.7
9.361,263.8
9.437,265.2
9.518,260.6
9.524,260.9
9.556,263.0
9.573,263.8
9.901,264.4
9.993,264.2
10.134,264.0
10.193,263.4
10.3,265.7
10.367,264.9
10.506,267.5
10.68,266.9
10.802,266.0
10.836,265.1
10.954,267.6
11.09,264.8
11.161,264.8
11.186,265.0
11.201,265.3
11.257,264.4
11.317,264.1
11.339,264.8
11.383,264.8
11.4,268.2
11.417,264.5
11.436,270.1
11.453,268.9
11.473,269.1
11.49,267.2
11.507,267.7
11.524,269.5
11.544,266.9
11.56,262.7
11.576,267.1
11.592,260.7
11.611,261.3
11.629,266.2
11.648,257.1
11.665,247.6
11.683,254.6
11.701,254.0
11.72,256.0
11.741,255.9
11.759,258.7
11.781,258.2
11.803,258.5
11.82,257.2
11.843,254.3
11.863,253.6
11.883,251.6
11.905,255.9
11.927,258.6
11.948,248.9
11.97,254.0
11.991,255.4
12.016,247.8
12.037,248.4
12.059,253.1
12.08,251.0
12.105,255.7
12.125,253.0
12.146,251.1
12.168,251.4
12.19,251.0
12.211,249.7
12.233,249.2
12.256,248.9
12.281,249.4
12.301,248.9
12.321,250.7
12.343,247.0
12.365,244.3
12.388,243.0
12.409,246.4
12.432,247.7
12.455,245.8
12.475,246.2
12.496,244.4
12.521,246.7
12.544,249.9
12.565,244.3
12.587,247.0
12.608,248.1
12.63,246.9
12.654,243.9
12.674,242.5
12.697,244.2
12.72,241.6
12.74,247.3
12.763,240.0
12.786,241.5
12.809,242.2
12.83,242.2
12.853,239.3
12.874,241.2
12.893,239.4
12.917,238.8
12.939,238.2
12.96,240.7
12.981,237.2
13.001,239.4
13.022,234.7
13.044,238.9
13.067,237.9
13.088,241.6
13.128,234.8
13.173,236.9
13.216,239.4
13.267,240.4
13.304,236.9
13.418,237.8
13.487,240.2
13.532,235.8
13.601,243.9
13.645,238.6
13.713,241.6
13.759,241.1
13.827,239.1
13.872,237.9
13.94,240.6
14.002,235.9
14.023,237.9
14.06,241.3
14.084,232.9
14.12,236.4
14.157,239.2
14.18,239.4
14.206,238.4
14.237,236.6
14.273,240.2
14.299,239.0
14.309,235.8
14.343,242.1
14.354,238.4
14.375,240.3
14.411,242.6
14.422,242.6
14.443,240.9
14.464,238.6
14.497,242.1
14.521,241.1
14.531,243.2
14.542,235.8
14.553,241.7
14.564,239.9
14.576,239.8
14.586,238.0
14.595,235.3
14.606,237.6
14.619,238.0
14.63,240.1
14.645,238.1
14.652,234.6
14.664,233.4
14.675,234.3
14.686,237.5
14.697,228.9
14.707,228.2
14.718,230.5
14.731,234.5
14.743,231.5
14.759,227.9
14.763,224.6
14.776,227.4
14.788,227.8
14.799,228.5
14.811,227.6
14.822,226.5
14.835,228.4
14.845,227.9
14.858,233.2
14.869,232.2
14.881,227.8
14.892,230.6
14.904,228.7
14.916,228.4
14.929,228.5
14.954,228.9
14.976,229.8
14.987,227.7
15.011,228.4
15.035,225.4
15.073,229.0
15.096,234.5
15.134,229.7
15.157,228.8
15.181,227.8
15.219,230.2
15.243,228.3
15.281,225.8
15.321,227.6
15.345,228.9
15.383,225.4
15.41,224.7
15.463,223.3
15.546,223.5
15.649,222.8
15.705,222.2
15.768,224.9
15.845,222.4
15.92,223.5
15.937,223.8
15.995,223.7
15.999,224.4
16.015,222.4
16.034,224.5
16.083,224.2
16.114,222.4
16.151,224.9
16.167,226.2
16.187,221.5
16.209,227.3
16.223,223.2
16.241,220.5
16.261,218.6
16.279,214.2
16.297,212.8
16.317,214.6
16.337,212.4
16.354,214.8
16.375,211.2
16.392,209.5
16.411,212.9
16.431,211.8
16.458,217.2
16.472,213.9
16.51,207.9
16.554,208.7
16.59,208.5
16.656,213.2
16.734,210.2
16.798,205.5
16.869,205.2
16.929,202.9
16.995,204.3
17.092,202.1
17.164,198.6
17.236,198.3
17.288,195.9
17.312,194.7
17.36,190.5
17.385,193.0
17.41,191.9
17.435,190.8
17.461,193.0
17.485,191.5
17.511,191.6
17.535,192.4
17.561,192.6
17.586,197.0
17.612,195.8
17.638,193.2
17.665,194.4
17.691,191.5
17.717,189.5
17.744,190.4
17.77,191.7
17.798,187.2
17.825,191.2
17.855,189.5
17.881,190.3
17.907,191.7
17.936,188.5
17.966,188.7
17.992,189.0
18.024,187.8
18.05,187.7
18.082,188.6
18.111,188.6
18.14,184.9
18.173,189.0
18.202,185.7
18.232,188.9
18.265,188.5
18.296,189.0
18.324,187.1
18.36,188.7
18.391,188.2
18.422,188.5
18.458,187.4
18.487,187.1
18.52,187.7
18.583,188.6
18.677,193.9
18.747,191.3
18.804,193.0
18.835,188.4
18.867,188.5
18.994,192.7
19.153,191.1
19.282,191.6
19.443,191.5
19.568,188.9
19.629,191.4
19.791,193.6
19.884,196.1
20.019,193.7
20.213,190.5
20.408,190.0
20.537,193.9
20.666,187.8
20.828,192.7
20.964,190.9
21.068,188.4
21.213,190.1
21.345,187.2
21.563,185.2
21.791,188.0
21.914,190.8
22.056,187.4
22.231,191.3
22.292,187.2
22.348,187.0
22.55,184.7
22.604,185.2
22.651,188.5
