age_kyr_bp,temp_anomaly_c
0.038,0.88
0.047,1.84
0.055,3.04
0.064,0.35
0.073,-0.42
0.082,0.05
0.091,0.05
0.1,-0.52
0.11,0.79
0.119,-0.55
0.129,-1.11
0.14,0.38
0.15,-0.4
0.161,1.05
0.171,0.28
0.181,-0.72
0.191,-1.23
0.202,0.51
0.212,-2.44
0.223,0.42
0.234,0.84
0.245,0.71
0.255,-0.02
0.267,-0.14
0.278,-1.41
0.289,-0.34
0.301,0.16
0.312,-1.22
0.324,-0.41
0.336,-0.59
0.347,0.03
0.359,-0.67
0.371,-0.9
0.383,-1.53
0.395,-0.47
0.407,-0.12
0.419,0.21
0.43,-1.73
0.442,0.16
0.454,0.14
0.466,-0.56
0.478,-0.8
0.49,0.42
0.503,-2.36
0.516,-0.85
0.529,-0.36
0.542,1.26
0.555,0.7
0.568,-0.77
0.581,1.4
0.594,-0.87
0.606,-0.81
0.619,1.46
0.632,0.98
0.645,0.27
0.658,-0.96
0.672,-0.61
0.687,-0.63
0.701,-0.49
0.715,-0.96
0.729,-1.44
0.744,-0.91
0.759,-0.1
0.772,-0.16
0.786,0.32
0.799,0.03
0.812,0.56
0.825,0.94
0.837,1.17
0.849,1.5
0.862,-1.03
0.875,0.59
0.889,-1.41
0.903,0.92
0.917,-1.03
0.932,-0.67
0.947,-0.55
0.961,-0.75
0.976,0.38
0.99,-0.4
1.005,-0.44
1.019,-0.95
1.032,0.14
1.047,0.99
1.061,0.36
1.075,-0.75
1.089,-0.8
1.104,0.72
1.118,-0.54
1.133,1.55
1.147,-0.9
1.161,-0.34
1.174,0.93
1.188,1.03
1.201,0.88
1.215,-0.54
1.229,0.58
1.244,0.37
1.258,0.27
1.273,-0.16
1.287,-0.3
1.302,1.23
1.316,0.22
1.33,0.89
1.345,-0.17
1.359,1.55
1.373,0.89
1.387,-0.17
1.401,-0.02
1.416,-0.48
1.432,-0.7
1.448,-0.45
1.463,1.04
1.479,-0.93
1.494,-0.32
1.51,-0.54
1.525,-0.27
1.541,0.9
1.556,-0.92
1.572,0.04
1.588,0.24
1.604,-1.15
1.621,-0.84
1.637,0.73
1.654,-1.24
1.67,0.42
1.686,0.35
1.702,-0.81
1.72,-0.56
1.737,-0.11
1.754,0.1
1.771,0.55
1.787,-1.41
1.804,0.25
1.822,-1.04
1.839,-0.99
1.856,0.35
1.873,-1.06
1.889,1.79
1.905,0.0
1.922,0.01
1.938,-0.38
1.956,0.18
1.973,-0.3
1.99,-0.73
2.007,-1.08
2.025,-0.02
2.044,-0.92
2.061,1.62
2.078,-0.7
2.095,-0.74
2.113,0.44
2.13,-0.64
2.147,-0.34
2.165,-1.02
2.184,-0.48
2.202,-0.46
2.237,0.86
2.253,0.3
2.271,-0.35
2.289,0.17
2.306,-2.05
2.327,-1.41
2.347,-0.63
2.367,-0.83
2.385,-0.94
2.405,-1.97
2.424,-0.78
2.443,0.0
2.463,-0.65
2.481,-0.63
2.5,0.16
2.518,-0.45
2.535,0.92
2.553,-0.11
2.571,0.51
2.589,-0.77
2.607,0.37
2.625,0.85
2.642,0.09
2.659,-0.19
2.678,-0.56
2.697,-0.2
2.715,-0.88
2.733,1.29
2.75,0.89
2.767,0.81
2.784,0.91
2.801,0.01
2.818,1.32
2.835,1.12
2.852,1.12
2.87,0.04
2.888,-0.64
2.906,-1.0
2.924,0.57
2.943,0.29
2.961,-0.34
2.98,-0.91
3.0,-0.01
3.019,-0.51
3.037,0.1
3.056,0.15
3.074,-0.03
3.092,0.63
3.129,1.27
3.147,-1.46
3.165,-0.91
3.186,-1.3
3.207,0.62
3.227,-0.82
3.247,-1.76
3.267,0.47
3.287,-0.74
3.307,-1.05
3.326,0.7
3.346,-0.71
3.365,-1.44
3.385,-0.01
3.405,-0.28
3.425,-0.44
3.445,-0.18
3.465,-0.02
3.484,0.46
3.503,-1.04
3.522,1.35
3.541,0.15
3.559,-0.29
3.578,0.16
3.598,-0.67
3.618,0.92
3.636,0.77
3.654,0.17
3.672,0.62
3.691,1.03
3.709,-1.02
3.727,1.36
3.746,1.26
3.764,-1.57
3.783,1.07
3.802,0.08
3.822,0.26
3.842,-0.7
3.861,-0.92
3.881,0.72
3.9,-0.12
3.92,-0.52
3.94,-0.19
3.96,-0.41
3.98,0.4
3.999,-0.56
4.019,-0.59
4.038,0.78
4.057,0.81
4.076,-1.16
4.095,0.89
4.115,0.82
4.134,-0.59
4.154,-0.42
4.173,0.06
4.193,0.5
4.212,-1.57
4.231,0.67
4.25,1.31
4.269,-0.2
4.288,1.36
4.307,-0.48
4.326,-1.03
4.347,0.0
4.367,0.29
