date,views
20250101,1169
20250102,1160
20250103,973
20250104,1009
20250105,1173
20250106,921
20250107,1119
20250108,924
20250109,1122
20250110,1243
20250111,970
20250112,906
20250113,1144
20250114,1600
20250115,1329
20250116,1266
20250117,1354
20250118,1070
20250119,1251
20250120,1531
20250121,1468
20250122,1450
20250123,1397
20250124,1194
20250125,983
20250126,1135
20250127,1457
20250128,1404
20250129,1320
20250130,1445
20250131,1273
20250201,996
20250202,898
20250203,1373
20250204,1387
20250205,1283
20250206,1196
20250207,1312
20250208,926
20250209,1073
20250210,1176
20250211,1340
20250212,1674
20250213,1380
20250214,1059
20250215,826
20250216,880
20250217,1086
20250218,1337
20250219,1245
20250220,1691
20250221,1230
20250222,1225
20250223,1362
20250224,1158
20250225,1118
20250226,1215
20250227,1156
20250228,1104
20250301,794
20250302,1065
20250303,1235
20250304,1212
20250305,999
20250306,1051
20250307,983
20250308,885
20250309,1208
20250310,1324
20250311,1046
20250312,889
20250313,1099
20250314,1211
20250315,732
20250316,953
20250317,1298
20250318,988
20250319,875
20250320,827
20250321,1359
20250322,992
20250323,834
20250324,853
20250325,842
20250326,827
20250327,1380
20250328,1001
20250329,763
20250330,769
20250331,866
20250401,707
20250402,653
20250403,630
20250404,650
20250405,800
20250406,835
20250407,827
20250408,712
20250409,936
20250410,760
20250411,733
20250412,684
20250413,763
20250414,940
20250415,964
20250416,1032
20250417,847
20250418,878
20250419,730
20250420,857
20250421,1033
20250422,850
20250423,817
20250424,754
20250425,872
20250426,882
20250427,920
20250428,919
20250429,802
20250430,907
20250501,943
20250502,1279
20250503,1114
20250504,1076
20250505,994
20250506,932
20250507,871
20250508,976
20250509,892
20250510,860
20250511,871
20250512,843
20250513,969
20250514,962
20250515,984
20250516,899
20250517,871
20250518,822
20250519,939
20250520,1124
20250521,951
20250522,872
20250523,803
20250524,769
20250525,971
20250526,1064
20250527,870
20250528,849
20250529,1305
20250530,1070
20250531,809
20250601,871
20250602,1092
20250603,1122
20250604,1010
20250605,750
20250606,797
20250607,845
20250608,1359
20250609,1131
20250610,846
20250611,923
20250612,857
20250613,901
20250614,793
20250615,983
20250616,823
20250617,825
20250618,1243
20250619,848
20250620,891
20250621,897
20250622,1339
20250623,1005
20250624,1043
20250625,952
20250626,984
20250627,892
20250628,874
20250629,1156
20250630,965
20250701,1538
20250702,1275
20250703,1038
20250704,1012
20250705,969
20250706,931
20250707,1113
20250708,1113
20250709,1547
20250710,1149
20250711,1212
20250712,908
20250713,877
20250714,1113
20250715,871
20250716,745
20250717,766
20250718,700
20250719,768
20250720,762
20250721,907
20250722,791
20250723,978
20250724,963
20250725,841
20250726,752
20250727,961
20250728,886
20250729,1302
20250730,1635
20250731,2203
20250801,1030
20250802,2975
20250803,1793
20250804,1340
20250805,1124
20250806,984
20250807,949
20250808,950
20250809,1966
20250810,1637
20250811,1158
20250812,1024
20250813,1545
20250814,1078
20250815,1059
20250816,963
20250817,1007
20250818,992
20250819,936
20250820,917
20250821,908
20250822,849
20250823,2052
20250824,1124
20250825,1207
20250826,1858
20250827,1722
20250828,1103
20250829,1287
20250830,1217
20250831,1505
20250901,1892
20250902,1235
20250903,1083
20250904,1030
20250905,1012
20250906,939
20250907,959
20250908,1005
20250909,1119
20250910,972
20250911,1094
20250912,928
20250913,828
20250914,899
20250915,895
20250916,1664
20250917,954
20250918,863
20250919,786
20250920,700
20250921,955
20250922,896
20250923,869
20250924,952
20250925,960
20250926,900
20250927,721
20250928,819
20250929,926
20250930,917
20251001,1160
20251002,1494
20251003,1207
20251004,953
20251005,986
20251006,1235
20251007,945
20251008,996
20251009,1200
20251010,744
20251011,706
20251012,720
20251013,864
20251014,1329
20251015,858
20251016,863
20251017,787
20251018,717
20251019,812
20251020,704
20251021,776
20251022,902
20251023,1196
20251024,845
20251025,826
20251026,783
20251027,901
20251028,874
20251029,798
20251030,787
20251031,809
20251101,781
20251102,821
20251103,888
20251104,928
20251105,837
20251106,972
20251107,933
20251108,947
20251109,919
20251110,880
20251111,888
20251112,893
20251113,953
20251114,847
20251115,761
20251116,878
20251117,1007
20251118,1221
20251119,917
20251120,935
20251121,944
20251122,845
20251123,861
20251124,910
20251125,1422
20251126,1268
20251127,1011
20251128,904
20251129,812
20251130,1012
20251201,950
20251202,1005
20251203,951
20251204,858
20251205,874
20251206,824
20251207,1015
20251208,1086
20251209,1009
20251210,956
20251211,1119
20251212,1383
20251213,807
20251214,792
20251215,1104
20251216,1346
20251217,965
20251218,1047
20251219,912
20251220,725
20251221,752
20251222,925
20251223,1001
20251224,813
20251225,682
20251226,735
20251227,909
20251228,958
20251229,1045
20251230,1266
20251231,1394
