year,population
1872,859345
1873,887322
1874,932458
1875,986091
1876,1027517
1877,890681
1878,1072560
1879,1084025
1880,1084745
1881,1121560
1882,1146971
1883,1173603
1884,1152500
1885,1163400
1886,1203600
1887,1296600
1888,1329200
1889,1354400
1890,1385700
1891,1333900
1892,1342000
1893,1356800
1894,1608700
1895,1638700
1896,1661300
1897,1705900
1898,1762100
1899,1878000
1900,1947300
1901,2019100
1902,2093800
1903,2171100
1904,2251300
1905,2334600
1906,2420900
1907,2510500
1908,2603300
1909,2682000
1910,2706800
1911,2732000
1912,2757500
1913,2783400
1914,2809600
1915,2836200
1916,2863100
1917,2890400
1918,2918000
1919,3340100
1920,3699428
1921,3830700
1922,3984200
1923,3859400
1924,4185500
1925,4485144
1926,4694400
1927,4897400
1928,5101400
1929,5300000
1930,5408678
1931,5521100
1932,5755600
1933,5975100
1934,6176900
1935,6369919
1936,6586500
1937,6725700
1938,6875600
1939,7081600
1940,7354971
1941,7284300
1942,7357800
1943,7332600
1944,7271001
1945,3488284
1946,4183072
1947,5000777
1948,5417871
1949,5950775
1950,6277500
1951,6712494
1952,7108749
1953,7468907
1954,7773648
1955,8037084
1956,8348969
1957,8681040
1958,9010534
1959,9349323
1960,9683802
1961,9936970
1962,10180203
1963,10432526
1964,10639361
1965,10869244
1966,10973070
1967,11104969
1968,11251775
1969,11340417
1970,11408071
1971,11521226
1972,11598152
1973,11636797
1974,11654642
1975,11673554
1976,11670355
1977,11668721
1978,11657218
1979,11635411
1980,11618281
1981,11619066
1982,11645872
1983,11700815
1984,11762368
1985,11829363
1986,11894011
1987,11904896
1988,11898526
1989,11878244
1990,11855563
1991,11878594
1992,11878284
1993,11843612
1994,11791565
1995,11773605
1996,11789799
1997,11838466
1998,11904007
1999,11973385
2000,12064101
2001,12178176
2002,12292467
2003,12388222
2004,12477934
2005,12576601
2006,12700327
2007,12835130
2008,12965871
2009,13077625
2010,13159388
2011,13191203
2012,13225551
2013,13301154
2014,13398087
2015,13515271
2016,13651276
2017,13773187
2018,13888986
2019,14004097
2020,14047594
2021,14011487
2022,14040732
2023,14099993
