year,share_pct
1872,2.47
1873,2.54
1874,2.65
1875,2.79
1876,2.89
1877,2.48
1878,2.97
1879,2.97
1880,2.96
1881,3.03
1882,3.08
1883,3.12
1884,3.04
1885,3.04
1886,3.12
1887,3.35
1888,3.41
1889,3.43
1890,3.47
1891,3.31
1892,3.31
1893,3.32
1894,3.91
1895,3.94
1896,3.96
1897,4.02
1898,4.11
1899,4.33
1900,4.44
1901,4.55
1902,4.66
1903,4.77
1904,4.88
1905,5.01
1906,5.15
1907,5.29
1908,5.43
1909,5.52
1910,5.5
1911,5.48
1912,5.45
1913,5.43
1914,5.4
1915,5.38
1916,5.35
1917,5.34
1918,5.33
1919,6.07
1920,6.61
1921,6.76
1922,6.94
1923,6.64
1924,7.11
1925,7.51
1926,7.73
1927,7.94
1928,8.15
1929,8.35
1930,8.39
1931,8.43
1932,8.66
1933,8.86
1934,9.04
1935,9.2
1936,9.39
1937,9.52
1938,9.68
1939,9.92
1940,10.22
1941,10.09
1942,10.1
1943,9.92
1944,9.77
1945,4.83
1946,5.52
1947,6.4
1948,6.77
1949,7.28
1950,7.55
1951,7.94
1952,8.28
1953,8.59
1954,8.81
1955,9.0
1956,9.26
1957,9.55
1958,9.82
1959,10.09
1960,10.37
1961,10.54
1962,10.7
1963,10.85
1964,10.95
1965,11.06
1966,11.08
1967,11.08
1968,11.1
1969,11.06
1970,10.9
1971,10.86
1972,10.78
1973,10.67
1974,10.54
1975,10.43
1976,10.32
1977,10.22
1978,10.12
1979,10.02
1980,9.93
1981,9.85
1982,9.81
1983,9.79
1984,9.78
1985,9.77
1986,9.78
1987,9.74
1988,9.69
1989,9.64
1990,9.59
1991,9.57
1992,9.54
1993,9.48
1994,9.41
1995,9.38
1996,9.37
1997,9.38
1998,9.41
1999,9.45
2000,9.5
2001,9.57
2002,9.64
2003,9.7
2004,9.76
2005,9.84
2006,9.93
2007,10.02
2008,10.12
2009,10.21
2010,10.28
2011,10.32
2012,10.37
2013,10.45
2014,10.54
2015,10.63
2016,10.75
2017,10.85
2018,10.96
2019,11.07
2020,11.14
2021,11.16
2022,11.24
