year,temp
1876,13.6
1877,14.2
1878,13.8
1879,14.6
1880,14.1
1881,13.8
1882,14.0
1883,13.3
1884,12.9
1885,13.1
1886,13.9
1887,13.8
1888,13.5
1889,13.3
1890,15.0
1891,14.4
1892,14.0
1893,13.8
1894,14.8
1895,13.8
1896,14.0
1897,13.2
1898,14.0
1899,13.8
1900,13.6
1901,13.9
1902,13.7
1903,13.7
1904,13.7
1905,13.5
1906,13.1
1907,13.5
1908,13.2
1909,13.6
1910,13.5
1911,14.4
1912,13.9
1913,13.4
1914,14.7
1915,14.2
1916,14.5
1917,13.6
1918,13.8
1919,14.1
1920,14.2
1921,13.6
1922,14.4
1923,14.2
1924,14.0
1925,13.8
1926,13.6
1927,14.1
1928,14.1
1929,14.3
1930,14.8
1931,14.0
1932,14.6
1933,14.7
1934,13.9
1935,14.1
1936,14.1
1937,14.9
1938,14.5
1939,14.7
1940,14.8
1941,14.6
1942,15.0
1943,14.6
1944,14.2
1945,13.6
1946,14.9
1947,14.1
1948,15.2
1949,14.6
1950,15.1
1951,14.7
1952,14.6
1953,14.6
1954,14.8
1955,15.5
1956,14.7
1957,14.9
1958,15.2
1959,15.7
1960,15.4
1961,15.9
1962,15.4
1963,15.0
1964,15.3
1965,14.6
1966,15.5
1967,15.7
1968,15.6
1969,15.6
1970,15.2
1971,15.0
1972,15.7
1973,15.7
1974,15.2
1975,15.6
1976,15.0
1977,15.8
1978,16.1
1979,16.9
1980,15.4
1981,15.0
1982,16.0
1983,15.7
1984,14.9
1985,15.7
1986,15.2
1987,16.3
1988,15.4
1989,16.4
1990,17.0
1991,16.4
1992,16.0
1993,15.5
1994,16.9
1995,16.3
1996,15.8
1997,16.7
1998,16.7
1999,17.0
2000,16.9
2001,16.5
2002,16.7
2003,16.0
2004,17.3
2005,16.2
2006,16.4
2007,17.0
2008,16.4
2009,16.7
2010,16.9
2011,16.5
2012,16.3
2013,17.1
2014,16.6
2015,16.4
2016,16.4
2017,15.8
2018,16.8
2019,16.5
2020,16.5
2021,16.6
2022,16.4
2023,17.6
2024,17.6
2025,17.3
